file_name,file_size,statuss_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,file_full_path
compat,2.0B,In use,2020-02-04 18:34:23.999186,2019-09-16 16:51:11.000000,2020-02-04 18:34:25.455558,2020-02-04 18:34:24.027130,2020-02-04 18:34:23.999186,2020-02-04 18:34:23.999186,2020-02-04 18:34:23.999186,2020-02-04 18:34:23.999186,./tools/plaso-master/config/dpkg/compat
control,4.6KB,In use,2020-02-04 18:34:25.468548,2019-09-16 16:51:11.000000,2020-02-04 18:34:26.939274,2020-02-04 18:34:25.504528,2020-02-04 18:34:25.468548,2020-02-04 18:34:25.468548,2020-02-04 18:34:25.468548,2020-02-04 18:34:25.468548,./tools/plaso-master/config/dpkg/control
copyright,948.0B,In use,2020-02-04 18:34:26.952248,2019-09-16 16:51:11.000000,2020-02-04 18:34:28.447636,2020-02-04 18:34:26.998224,2020-02-04 18:34:26.952248,2020-02-04 18:34:26.952248,2020-02-04 18:34:26.952248,2020-02-04 18:34:26.952248,./tools/plaso-master/config/dpkg/copyright
plaso-data.dirs,17.0B,In use,2020-02-04 18:34:28.469624,2019-09-16 16:51:11.000000,2020-02-04 18:34:29.977324,2020-02-04 18:34:28.540584,2020-02-04 18:34:28.469624,2020-02-04 18:34:28.469624,2020-02-04 18:34:28.469624,2020-02-04 18:34:28.469624,./tools/plaso-master/config/dpkg/plaso-data.dirs
plaso-data.install,23.0B,In use,2020-02-04 18:34:29.996316,2019-09-16 16:51:11.000000,2020-02-04 18:34:32.888134,2020-02-04 18:34:31.449382,2020-02-04 18:34:29.996316,2020-02-04 18:34:29.996316,2020-02-04 18:34:29.996316,2020-02-04 18:34:29.996316,./tools/plaso-master/config/dpkg/plaso-data.install
plaso-tools.install,8.0B,In use,2020-02-04 18:34:32.900124,2019-09-16 16:51:11.000000,2020-02-04 18:34:34.384994,2020-02-04 18:34:32.934108,2020-02-04 18:34:32.900124,2020-02-04 18:34:32.900124,2020-02-04 18:34:32.900124,2020-02-04 18:34:32.900124,./tools/plaso-master/config/dpkg/plaso-tools.install
python-plaso.install,275.0B,In use,2020-02-04 18:34:35.811420,2019-09-16 16:51:11.000000,2020-02-04 18:34:37.288132,2020-02-04 18:34:35.852396,2020-02-04 18:34:35.811420,2020-02-04 18:34:35.811420,2020-02-04 18:34:35.811420,2020-02-04 18:34:35.811420,./tools/plaso-master/config/dpkg/python-plaso.install
python3-plaso.install,275.0B,In use,2020-02-04 18:34:37.303124,2019-09-16 16:51:11.000000,2020-02-04 18:34:38.769084,2020-02-04 18:34:37.334086,2020-02-04 18:34:37.303124,2020-02-04 18:34:37.303124,2020-02-04 18:34:37.303124,2020-02-04 18:34:37.303124,./tools/plaso-master/config/dpkg/python3-plaso.install
rules,712.0B,In use,2020-02-04 18:34:38.789068,2019-09-16 16:51:11.000000,2020-02-04 18:34:40.309384,2020-02-04 18:34:38.870024,2020-02-04 18:34:38.789068,2020-02-04 18:34:38.789068,2020-02-04 18:34:38.789068,2020-02-04 18:34:38.789068,./tools/plaso-master/config/dpkg/rules
source,0,In use directory,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2020-02-04 18:36:16.439626,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,./tools/plaso-master/config/dpkg/source
format,12.0B,In use,2020-02-04 18:34:40.343364,2019-09-16 16:51:11.000000,2020-02-04 18:34:41.826180,2020-02-04 18:34:40.384342,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,2020-02-04 18:34:40.343364,./tools/plaso-master/config/dpkg/source/format
end-to-end.ini,3.2KB,In use,2020-02-04 18:34:41.841172,2019-09-16 16:51:11.000000,2020-02-04 18:34:43.323318,2020-02-04 18:34:41.891124,2020-02-04 18:34:41.841172,2020-02-04 18:34:41.841172,2020-02-04 18:34:41.841172,2020-02-04 18:34:41.841172,./tools/plaso-master/config/end-to-end.ini
jenkins,0,In use directory,2020-02-04 18:34:43.337310,2020-02-04 18:35:11.550820,2020-02-04 18:35:11.550820,2020-02-04 18:36:16.439626,2020-02-04 18:34:43.337310,2020-02-04 18:34:43.337310,2020-02-04 18:34:43.337310,2020-02-04 18:34:43.337310,./tools/plaso-master/config/jenkins
greendale,0,In use directory,2020-02-04 18:34:43.351312,2020-02-04 18:35:05.608446,2020-02-04 18:35:05.608446,2020-02-04 18:36:16.441620,2020-02-04 18:34:43.351312,2020-02-04 18:34:43.351312,2020-02-04 18:34:43.351312,2020-02-04 18:34:43.351312,./tools/plaso-master/config/jenkins/greendale
acserver-mounted.ini,340.0B,In use,2020-02-04 18:34:43.366310,2019-09-16 16:51:11.000000,2020-02-04 18:34:44.833060,2020-02-04 18:34:43.400274,2020-02-04 18:34:43.366310,2020-02-04 18:34:43.366310,2020-02-04 18:34:43.366310,2020-02-04 18:34:43.366310,./tools/plaso-master/config/jenkins/greendale/acserver-mounted.ini
acserver.ini,331.0B,In use,2020-02-04 18:34:44.849052,2019-09-16 16:51:11.000000,2020-02-04 18:34:46.318680,2020-02-04 18:34:44.889030,2020-02-04 18:34:44.849052,2020-02-04 18:34:44.849052,2020-02-04 18:34:44.849052,2020-02-04 18:34:44.849052,./tools/plaso-master/config/jenkins/greendale/acserver.ini
dc1-greendale3.ini,327.0B,In use,2020-02-04 18:34:46.341668,2019-09-16 16:51:11.000000,2020-02-04 18:34:47.821612,2020-02-04 18:34:46.385628,2020-02-04 18:34:46.341668,2020-02-04 18:34:46.341668,2020-02-04 18:34:46.341668,2020-02-04 18:34:46.341668,./tools/plaso-master/config/jenkins/greendale/dc1-greendale3.ini
